Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,COLLECTIONS-599,13025071,HashEntry array object naming data initialized with double the size during deserialization,,tejast5,Critical,Open,,02/Dec/16 11:58,02/Feb/18 10:10,
Bug,COLLECTIONS-583,12921576,"JAVA serialization vulnerability ""CVE-2015-4852"" in commons-collections*.jar",,arnoj2010,Major,Resolved,Duplicate,14/Dec/15 07:02,14/Dec/15 07:47,
Bug,COLLECTIONS-580,12911300,Arbitrary remote code execution with InvokerTransformer,,marschall,Major,Closed,Fixed,07/Nov/15 13:28,12/Jan/16 08:07,
Bug,COLLECTIONS-577,12896510,PatriciaTrie bugs when only a few bits change,,veqryn,Critical,Closed,Duplicate,25/Sep/15 22:27,27/Nov/15 21:47,
Bug,COLLECTIONS-576,12861500,MultiKey subclassing has deserialization problem since COLLECTIONS-266: either declare protected readResolve() or MultiKey must be final,,stephanroch,Major,Closed,Fixed,03/Sep/15 08:44,27/Nov/15 21:11,
Bug,COLLECTIONS-570,12839496,All decorators shall throw a NullPointerException if the decorated argument is null,,tn,Minor,Closed,Fixed,22/Jun/15 09:50,27/Nov/15 21:11,
Bug,COLLECTIONS-566,12835517,IteratorUtils.collatedIterator do not use natural ordering if no comparator was provided,,tn,Major,Closed,Fixed,04/Jun/15 20:19,27/Nov/15 21:11,
Bug,COLLECTIONS-558,12785536,ListOrderedSet#remove(int) should return E instead of Object,,frabe,Major,Closed,Fixed,25/Mar/15 14:46,27/Nov/15 21:11,
Bug,COLLECTIONS-555,12775413,Undefined NullPointerException in TreeBag.java,,mjkim0324,Minor,Closed,Fixed,16/Feb/15 17:03,27/Nov/15 21:11,
Bug,COLLECTIONS-553,12775398,TransformedMultiValuedMap.equals() fails when comparing the value with itself,,mjkim0324,Major,Closed,Fixed,16/Feb/15 16:09,27/Nov/15 21:11,
Bug,COLLECTIONS-545,12766770,Undocumented performance issue in the removeAll method in CollectionUtils,,oswaldo_o,Trivial,Closed,Fixed,12/Jan/15 06:04,27/Nov/15 21:11,
Bug,COLLECTIONS-544,12766767,Undocumented performance issue in the retainAll method in CollectionUtils ,,oswaldo_o,Trivial,Closed,Fixed,12/Jan/15 05:55,27/Nov/15 21:11,
Bug,COLLECTIONS-543,12765478,AbstractCollectionDecorator should not delegate equals and hashcode,,tn,Major,Closed,Fixed,07/Jan/15 22:05,27/Nov/15 21:11,
Bug,COLLECTIONS-537,12755049,PredicateUtils (all|any)Predicate type misbehaviour Array vs. Collection,,fj,Major,Closed,Fixed,13/Nov/14 12:47,27/Nov/15 21:11,
Bug,COLLECTIONS-536,12751294,(Code style) map.size() call in MapUtils.putAll(),,lany,Trivial,Closed,Fixed,29/Oct/14 02:58,27/Nov/15 21:11,
Bug,COLLECTIONS-534,12748417,Performance bug in CollectionBag::retainAll,,oswaldo_o,Major,Closed,Fixed,15/Oct/14 21:01,27/Nov/15 21:11,
Bug,COLLECTIONS-531,12716766,"Generic Wildcards specified in CollectionUtils#isEqualCollection(Collection, Collection, Equator) may throw ClassCastException in certain cases",,dipanjan21,Minor,Closed,Fixed,27/May/14 10:13,27/Nov/15 21:11,
Bug,COLLECTIONS-525,12713013,PatriciaTrie,,zigler,Critical,Closed,Fixed,08/May/14 04:38,27/Nov/15 21:11,
Bug,COLLECTIONS-524,12712470,ListOrderedSet can have duplicates,,jggoodfe,Major,Closed,Fixed,06/May/14 00:58,27/Nov/15 21:11,
Bug,COLLECTIONS-521,12711792,"Typo in MultiMapKey's isEqualKey(entry, key1, key2)",,Maxime Nay,Major,Closed,Fixed,01/May/14 20:51,27/Nov/15 21:11,
Bug,COLLECTIONS-516,12707638,NullPointerException in MapUtils.toProperties,,Telcontar,Major,Closed,Fixed,10/Apr/14 04:39,27/Nov/15 21:11,
Bug,COLLECTIONS-512,12707621,equals/hashCode mismatch,,Telcontar,Major,Closed,Fixed,10/Apr/14 01:56,27/Nov/15 21:11,
Bug,COLLECTIONS-509,12699628,Clarify javadoc of CollectionBag,,tn,Major,Closed,Fixed,08/Mar/14 18:45,27/Nov/15 21:11,
Bug,COLLECTIONS-507,12694830,ComparatorUtils.chainedComparator(..) should not force the objects to implement Comparable,,gersonk,Major,Closed,Fixed,12/Feb/14 20:29,27/Nov/15 21:11,
Bug,COLLECTIONS-506,12686070,Result of CollectionUtils are different between version 3.2.1 and version 4.0,,anthonyC,Major,Closed,Fixed,22/Dec/13 19:13,27/Nov/15 21:11,
Bug,COLLECTIONS-427,12600099,performance problem in SetUniqueList.retainAll(),,mertguldur,Major,Closed,Fixed,24/Jul/12 23:50,27/Nov/15 21:11,
Bug,COLLECTIONS-426,12600077,performance problem in ListOrderedSet.retainAll(),,adriannistor,Major,Closed,Fixed,24/Jul/12 22:04,27/Nov/15 21:11,
