Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-9351,12915270,Kura router should offer SCR programming model,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-23 9:25,2015-11-23 9:34,
Bug,,CAMEL-9277,12909180,FTP shutdown whole context on startup if throwExceptionOnConnectFailed true,davsclaus,augus.topor,Major,Resolved,Fixed,2015-10-30 10:58,2015-11-23 7:20,
Bug,,CAMEL-9348,12915116,Endpoints for the same websocket with different parameters cannot send message to websocket client,davsclaus,tonswieb,Major,Resolved,Fixed,2015-11-21 20:40,2015-11-22 17:42,
Bug,,CAMEL-9335,12914026,camel-netty-http - Suppress Connection reset by peer WARNs,davsclaus,davsclaus,Major,Resolved,Fixed,2015-11-18 7:49,2015-11-18 8:37,
Bug,Patch Available,CAMEL-9331,12913406,"Thread leak in Http4Endpoint, doStop() does not close() the httpClient",davsclaus,aaronjwhiteside,Major,Resolved,Fixed,2015-11-16 19:16,2015-11-18 8:28,
Bug,,CAMEL-9278,12909208,camel-undertow - Should support multiple rest services,davsclaus,davsclaus,Major,Resolved,Fixed,2015-10-30 14:02,2015-11-18 8:23,
Bug,,CAMEL-9333,12913626,KuraRouter should try to load XML routes from ConfigAdmin,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-17 10:26,2015-11-17 10:29,
Bug,,CAMEL-9328,12913240,KuraRouter should provide required and optional service resolvers,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-16 8:34,2015-11-16 9:30,
Bug,,CAMEL-9329,12913248,Kura router should provide OSGi compendium services,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-16 9:21,2015-11-16 9:23,
Bug,,CAMEL-9321,12912845,Blueprint example and archetype does not work when executed with camel:run,davsclaus,antonin.stefanutti,Major,Resolved,Fixed,2015-11-13 14:52,2015-11-13 15:13,
Bug,,CAMEL-9318,12912760,org.apache.camel.component.twitter.TwitterEndpointEvent cannot be cast to org.apache.camel.component.direct.DirectEndpoint,davsclaus,vchalupa,Major,Resolved,Fixed,2015-11-13 9:03,2015-11-13 14:49,
Bug,,CAMEL-9294,12910830,Camel spring boot doesn't pickup routes when context refresh event is not called on the root context,davsclaus,denis.stepanov,Major,Resolved,Duplicate,2015-11-05 20:20,2015-11-13 14:40,
Bug,,CAMEL-9297,12911029,Expose more configuration options from Camel's XStream component,ay,ay,Major,Resolved,Fixed,2015-11-06 12:21,2015-11-13 14:21,
Bug,,CAMEL-9161,12896117,Camel spring-boot not finding routes when using spring-cloud,hekonsek,nstuart,Major,Resolved,Fixed,2015-09-24 13:51,2015-11-13 10:09,
Bug,,CAMEL-9317,12912614,camel-salesforce's XStream to use a system property to configure its setting,ay,ay,Major,Resolved,Fixed,2015-11-12 21:46,2015-11-12 22:17,
Bug,,CAMEL-9309,12912147,camel-jetty - Make it easier to turn on|off java transport over http,davsclaus,davsclaus,Major,Resolved,Fixed,2015-11-11 12:25,2015-11-12 19:44,
Bug,,CAMEL-9315,12912487,KuraRouter should provide consumer template,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-12 14:55,2015-11-12 14:59,
Bug,,CAMEL-9314,12912484,Improve error logging in Kura router,hekonsek,hekonsek,Major,Resolved,Fixed,2015-11-12 14:42,2015-11-12 14:59,
Bug,,CAMEL-9264,12908519,AWS Java SDK version,ancosen,jlindstorff,Major,Resolved,Fixed,2015-10-28 11:08,2015-11-07 10:31,
Bug,,CAMEL-9292,12910563,ZipIterator sometimes return null when using with split,,khaing211,Major,Resolved,Invalid,2015-11-05 1:18,2015-11-05 12:06,
Bug,,CAMEL-9291,12910557,GenericFileOnCompletion should NOT allow handOver i.e. should implement SynchronizationVetoable,davsclaus,khaing211,Major,Resolved,Won't Fix,2015-11-05 0:46,2015-11-05 12:06,
Bug,,CAMEL-9290,12910465,netty4 consumer in clientMode only reconnects once,janstey,janstey,Major,Resolved,Fixed,2015-11-04 20:21,2015-11-04 20:36,
Bug,Patch Available,CAMEL-9279,12909252,IndexRequests do not support parent-child relationships,gzurowski,jaylapham,Major,Resolved,Fixed,2015-10-30 17:13,2015-10-31 9:29,
Bug,,CAMEL-9269,12908831,NotifyBuilder.fromRoute() does not work for some endpoint types,gertvanthienen,gertvanthienen,Major,Resolved,Fixed,2015-10-29 8:42,2015-10-29 8:59,
Bug,,CAMEL-9145,12875797,Upgrade camel-hbase component to hbase 1.1.1 on Hadoop 2.7.1,davsclaus,woj_in,Major,Resolved,Fixed,2015-09-18 7:33,2015-10-23 7:28,
Bug,,CAMEL-9220,12904681,swagger - Model schema not including nested objects,davsclaus,wheadonj,Major,Resolved,Fixed,2015-10-13 21:52,2015-10-15 6:00,
Bug,,CAMEL-9223,12904905,IllegalArgumentException when reverting fields using property placeholders,janstey,janstey,Major,Resolved,Fixed,2015-10-14 15:33,2015-10-14 15:58,
Bug,,CAMEL-9208,12903856,camel-netty4-http does not resolve nettyHttpBinding option,janstey,janstey,Major,Resolved,Fixed,2015-10-09 18:13,2015-10-09 18:30,
Bug,,CAMEL-9192,12902606,camel-elsql - Allow using simple language as named parameters,davsclaus,davsclaus,Major,Resolved,Fixed,2015-10-06 6:46,2015-10-09 16:18,
Bug,Patch Available,CAMEL-9199,12903134,RabbitMQ Consumer threads crash when sending partially serializable objects,davsclaus,unleashed85,Major,Resolved,Fixed,2015-10-07 21:14,2015-10-08 12:36,
Bug,,CAMEL-9195,12902712,Memory leak in UndertowProducer,davsclaus,jamesnetherton,Major,Resolved,Fixed,2015-10-06 14:41,2015-10-08 3:35,
Bug,,CAMEL-9193,12902619,Aggregator in preCompletion mode should also timeout if the new group does not receive further messages,davsclaus,davsclaus,Major,Resolved,Fixed,2015-10-06 8:14,2015-10-08 3:35,
Bug,,CAMEL-9194,12902636,camel-elasticsearch search request only supports map object,njiang,njiang,Major,Resolved,Fixed,2015-10-06 9:24,2015-10-08 3:35,
Bug,,CAMEL-9166,12896369,Some functionality broken in Camel-8857,davsclaus,yuruki,Major,Resolved,Fixed,2015-09-25 10:23,2015-09-27 14:38,
Bug,,CAMEL-9160,12896096,Dynamic to - Should use language: as prefix when using other languages,davsclaus,davsclaus,Major,Resolved,Fixed,2015-09-24 12:11,2015-09-24 12:53,
Bug,,CAMEL-9159,12896082,"wireTap(""log: ..."") leads to script engine error",davsclaus,tdiesler,Major,Resolved,Fixed,2015-09-24 11:29,2015-09-24 11:55,
Bug,,CAMEL-9139,12864190,Reading parameter not configurable via header in camel-facebook,ancosen,manuelh9r,Major,Resolved,Fixed,2015-09-15 9:13,2015-09-24 6:37,
Bug,,CAMEL-9140,12864248,Missing configuration properties in camel-facebook,ancosen,manuelh9r,Major,Resolved,Fixed,2015-09-15 12:34,2015-09-16 11:22,
Bug,,CAMEL-9109,12861198,AHC creating thread for each connection,,lesnovell,Major,Resolved,Not A Problem,2015-09-02 1:57,2015-09-04 8:23,
Bug,,CAMEL-8961,12844775,Update Camel-Docker to support docker-java 1.4.0,davsclaus,sabre1041,Major,Resolved,Fixed,2015-07-13 20:22,2015-08-30 9:12,
Bug,,CAMEL-9092,12857456,MQTT consumer receives duplicate messages after broker restart,raulvk,igarashitm,Major,Closed,Fixed,2015-08-20 7:00,2015-08-28 15:01,
Bug,Patch Available,CAMEL-9066,12853741,Include any headers unmarshalled by SoapJaxbDataFormat in content marshalled by the same.,njiang,blackard,Major,Resolved,Fixed,2015-08-10 5:06,2015-08-20 6:38,
Bug,,CAMEL-9073,12854110,Installing camel-cxf on Karaf with Java 7 does not work,chris@die-schneider.net,davsclaus,Major,Resolved,Fixed,2015-08-11 9:18,2015-08-11 11:06,
Bug,,CAMEL-9057,12852277,Camel Example Servlet REST generates java.lang.NoClassDefFoundError: scala/xml/PrettyPrinter,cmoulliard,cmoulliard,Major,Closed,Fixed,2015-08-05 15:45,2015-08-05 16:29,
Bug,,CAMEL-9031,12849837,Dependency missing in camel-kafka feature,davsclaus,sabre1041,Major,Resolved,Fixed,2015-07-29 4:03,2015-07-29 7:06,
Bug,Patch Available,CAMEL-9001,12846889,add TWS component,,daniel.pocock,Major,Resolved,Won't Fix,2015-07-22 13:10,2015-07-24 5:54,
Bug,,CAMEL-8985,12846254,camel-jetty - A Bug fails,davsclaus,davsclaus,Major,Resolved,Fixed,2015-07-20 11:49,2015-07-21 10:03,
Bug,Patch Available,CAMEL-8790,12832026,Kafka producer hard coded to use Strings,davsclaus,mmindenhall,Major,Resolved,Fixed,2015-05-22 2:39,2015-07-16 16:10,
Bug,,CAMEL-8886,12838903,camel-cxf - 2 Bugs fails,njiang,davsclaus,Major,Resolved,Fixed,2015-06-18 19:12,2015-06-19 15:18,
Bug,,CAMEL-8865,12837651,Remove version from URL in Camel web examples,davsclaus,sabre1041,Major,Resolved,Fixed,2015-06-14 4:09,2015-06-14 18:37,
Bug,,CAMEL-8800,12832785,Upgrade kafka to 0.8.2.1,njiang,mmindenhall,Major,Closed,Fixed,2015-05-26 17:25,2015-06-02 19:06,
Bug,,CAMEL-8791,12832106,NullPointerException thrown when accessing swagger generated /api-docs in camel-example-servlet-rest-tomcat,davsclaus,vchalupa,Major,Resolved,Fixed,2015-05-22 9:37,2015-05-28 4:56,
Bug,,CAMEL-8669,12822136,Karaf integration Bugs fails,chris@die-schneider.net,ancosen,Major,Resolved,Fixed,2015-04-19 10:53,2015-04-20 7:01,
Bug,,JCR-4242,13128522,Build failure: unapproved license,mreutegg,mreutegg,Minor,Closed,Fixed,2018-01-04 15:31,2018-06-12 3:58,
Bug,,JCR-4222,13122560,Document reduced RMI interop with older servers after java-9 related changes,reschke,reschke,Minor,Closed,Fixed,2017-12-04 12:05,2017-12-21 8:06,
Bug,,CAMEL-9210,12903963,Make credentials optional in AWS component. Use instance profile if not supplied.,onders,benparry,Minor,Resolved,Fixed,2015-10-10 7:58,2017-07-01 13:12,
Bug,,CAMEL-11029,13056764,karaf - camel-cdi won't install,,bob.blackard,Minor,Resolved,Won't Fix,2017-03-16 19:10,2017-04-12 11:56,
Bug,,CAMEL-10782,13040087,SFTP: cannot get files from users home with readlock changed,davsclaus,StefanR,Minor,Resolved,Fixed,2017-02-03 9:56,2017-02-28 10:01,
Bug,,CAMEL-10745,13037682,POJO @Produce @Consume does not work with multiple arguments anymore.,davsclaus,chrisjheap,Minor,Resolved,Fixed,2017-01-25 12:41,2017-01-30 17:55,
Bug,,CAMEL-10476,13020538,configAdminFile not used to populate property placeholders in camel-Bug-blueprint when run via camel-maven-plugin,gzres,ryanco,Minor,Resolved,Fixed,2016-11-14 16:09,2016-12-16 8:10,
Bug,,CAMEL-9237,12906095,ConcurrentModificationException when adding/removing routes in multiple threads,,chrisribble,Minor,Resolved,Cannot Reproduce,2015-10-19 22:15,2016-04-25 18:34,
Bug,,CAMEL-9756,12953405,It would be great if Objects returned by language expressions could be set as the body on an Exchange without using the LanguageProducer,,dye357,Minor,Resolved,Invalid,2016-03-24 21:40,2016-03-25 7:22,
Bug,,CAMEL-9083,12856240,Investigate camel-hazelcast feature failure when installed with other bundles,davsclaus,raulvk,Minor,Resolved,Fixed,2015-08-14 18:41,2016-03-23 8:38,
Bug,,CAMEL-9312,12912246,Rest DSL should support defaulting values for query strings,davsclaus,eschizoid,Minor,Resolved,Fixed,2015-11-11 18:41,2016-01-26 9:48,
Bug,,CAMEL-9519,12931546,POM from camel-archetype-blueprint generated project caused CamelBlueprintBugSupport failure,gzres,hqstevenson,Minor,Resolved,Fixed,2016-01-15 19:07,2016-01-19 16:30,
Bug,,CAMEL-9289,12910327,loggingFeatureEnabled in Spring configured cxfEndpoint does not support Spring Property Placeholders,,daveroa,Minor,Closed,Not A Problem,2015-11-04 11:50,2016-01-12 17:53,
Bug,,CAMEL-9252,12907671,Batch camel messages,davsclaus,khaing211,Minor,Resolved,Fixed,2015-10-24 17:29,2015-12-18 17:02,
Bug,,CAMEL-9418,12921819,camel-elasticsearch: make client.transport.sniff configurable,ancosen,rbowen@truecar.com,Minor,Resolved,Fixed,2015-12-14 23:18,2015-12-18 10:53,
Bug,,CAMEL-9386,12917942,Camel-git: Support credentials in clone operation,ancosen,ancosen,Minor,Resolved,Fixed,2015-12-03 9:21,2015-12-03 16:25,
Bug,,CAMEL-9371,12916573,Add support of Swagger for restlet component,davsclaus,Pavel999,Minor,Resolved,Fixed,2015-11-27 9:15,2015-11-30 16:20,
Bug,,CAMEL-9284,12909800,warning in logs when using propertyplaceholder with prop,davsclaus,mtran,Minor,Resolved,Fixed,2015-11-02 22:03,2015-11-23 6:45,
Bug,,CAMEL-9282,12909564,IndexOutOfBoundsException if SoapAction parameter is empty,davsclaus,augus.topor,Minor,Resolved,Fixed,2015-11-02 6:24,2015-11-22 15:02,
Bug,,CAMEL-9319,12912792,SshClient resource leak when used from ProducerTemplate,ancosen,codan84,Minor,Resolved,Fixed,2015-11-13 10:50,2015-11-16 17:02,
Bug,,CAMEL-9305,12911837,PropertiesComponent.isDefaultCreated method only check the absence of defined locations,davsclaus,antonin.stefanutti,Minor,Resolved,Fixed,2015-11-10 11:39,2015-11-13 16:46,
Bug,,CAMEL-9303,12911574,PropertiesComponent - Allow service host and port to be specified individually,davsclaus,davsclaus,Minor,Resolved,Fixed,2015-11-09 16:39,2015-11-09 16:42,
Bug,,CAMEL-9302,12911359,Add camel-jolt to features,ancosen,ancosen,Minor,Resolved,Fixed,2015-11-08 10:15,2015-11-08 10:30,
Bug,,CAMEL-9072,12854080,camel-Bug-blueprint - Custom converter Bug fails,ancosen,davsclaus,Minor,Resolved,Fixed,2015-08-11 7:51,2015-11-07 11:35,
Bug,,CAMEL-9300,12911130,DeltaSpike container control dependency in Camel CDI should be optional,davsclaus,antonin.stefanutti,Minor,Resolved,Fixed,2015-11-06 17:08,2015-11-07 7:26,
Bug,,CAMEL-9298,12911063,camel-netty4 - Connection timeout is already done by netty itself,davsclaus,davsclaus,Minor,Resolved,Fixed,2015-11-06 14:32,2015-11-06 14:39,
Bug,,CAMEL-9287,12910186,netty4-http - Use port 80 if no port number configured,ancosen,davsclaus,Minor,Resolved,Fixed,2015-11-03 23:44,2015-11-04 16:50,
Bug,,CAMEL-9265,12908533,Use servicemix-specs version of jsr311-api,davsclaus,tcunning,Minor,Resolved,Fixed,2015-10-28 12:21,2015-10-28 14:09,
Bug,Patch Available,CAMEL-9255,12907852,documentType not used for XPath predicates in XML DSL,davsclaus,siano,Minor,Resolved,Fixed,2015-10-26 9:11,2015-10-27 7:51,
Bug,,CAMEL-9245,12907163,camel-paho - Endpoint should allow a flexible naming.,,teixi,Minor,Resolved,Fixed,2015-10-22 17:59,2015-10-25 20:49,
Bug,,CAMEL-9231,12905704,camel-example-spring-ws - Does not work,davsclaus,davsclaus,Minor,Resolved,Fixed,2015-10-17 6:21,2015-10-24 7:18,
Bug,,CAMEL-9158,12896079,camel-univocity-parsers should initize in doStart and not use reset flag,ancosen,davsclaus,Minor,Resolved,Fixed,2015-09-24 11:21,2015-10-23 15:30,
Bug,Patch Available,CAMEL-9233,12905747,ZipFileDataFormat doesn't take exchange's charset into account,,gabowsky,Minor,Resolved,Fixed,2015-10-17 19:22,2015-10-18 9:32,
Bug,Patch Available,CAMEL-9219,12904672,Base64 Spring XML Bugs and documentation,davsclaus,toulmean,Minor,Resolved,Fixed,2015-10-13 21:24,2015-10-15 5:18,
Bug,,CAMEL-9215,12904113,Missing .handled(true) in Camel 2.16.0 when using wiretap and newExchangeBody,davsclaus,monti,Minor,Resolved,Fixed,2015-10-12 8:25,2015-10-12 16:48,
Bug,,CAMEL-9189,12902301,Jackson XML Mapper Data format,davsclaus,toulmean,Minor,Resolved,Fixed,2015-10-04 9:02,2015-10-12 6:35,
Bug,,CAMEL-9213,12904019,CamelContext - explainEndpointJson should not include component properties,davsclaus,davsclaus,Minor,Resolved,Fixed,2015-10-11 7:21,2015-10-11 9:09,
Bug,,CAMEL-9167,12896370,NPE in dozer entity resolver,davsclaus,tdiesler,Minor,Resolved,Implemented,2015-09-25 10:23,2015-10-06 13:59,
Bug,,CAMEL-8538,12785200,Add inOut support for the RabbitMQ component,,unleashed85,Minor,Resolved,Fixed,2015-03-24 15:43,2015-10-05 16:32,
Bug,Patch Available,CAMEL-9187,12902166,Add support in endpoint for setting splunk event host field,davsclaus,dwtung,Minor,Resolved,Fixed,2015-10-02 17:26,2015-10-04 18:32,
Bug,,CAMEL-9144,12873237,Regression with camel-jackson 2.15.3,davsclaus,arnaudeprez,Minor,Resolved,Fixed,2015-09-17 9:21,2015-10-03 7:47,
Bug,,CAMEL-8980,12846087,Add Camel-git feature,ancosen,ancosen,Minor,Resolved,Fixed,2015-07-18 9:13,2015-09-29 7:00,
Bug,,CAMEL-9164,12896335,errorHandlerRef causes NoSuchBeanException on uninstall,davsclaus,igarashitm,Minor,Resolved,Fixed,2015-09-25 6:24,2015-09-25 14:28,
Bug,,CAMEL-8567,12786561,New camel-raspberry component,davsclaus,gautric,Minor,Closed,Won't Fix,2015-03-29 20:52,2015-07-23 13:59,
Bug,,CAMEL-8870,12837705,Remove version from URL in Maven web archetype,davsclaus,sabre1041,Minor,Resolved,Fixed,2015-06-14 18:22,2015-06-17 0:28,
Bug,Patch Available,CAMEL-8810,12833335,Camel CXF may propagate wrong Content-Length headers,forsthofer,siano,Minor,Resolved,Fixed,2015-05-28 7:33,2015-06-13 11:12,
Bug,,CAMEL-8757,12828346,SO_TIMEOUT not really set on SFTP connections,davsclaus,siano,Minor,Resolved,Pending Closed,2015-05-08 12:36,2015-05-29 11:10,
Bug,,CAMEL-9340,12914692,FileIdempotentRepository fails to create fileStore when no path is specified,davsclaus,kgeis,Trivial,Resolved,Fixed,2015-11-20 0:40,2015-11-28 8:51,
Bug,,CAMEL-9310,12912151,Undocumented new exchange header,davsclaus,drasil,Trivial,Resolved,Fixed,2015-11-11 12:45,2015-11-12 9:41,
Bug,Patch Available,CAMEL-9271,12908901,Extending RouteDefinition,davsclaus,HansO,Trivial,Resolved,Fixed,2015-10-29 13:59,2015-10-30 7:32,
Bug,Patch Available,CAMEL-9229,12905440,Wrong folder name for jacksonxml Bug resources,davsclaus,toulmean,Trivial,Resolved,Fixed,2015-10-16 7:57,2015-10-16 18:14,
Bug,,CAMEL-9118,12862190,"camel-pgevent, use pg_notify for sending notifications with postgres verion 9 and above",davsclaus,jlindstorff,Trivial,Resolved,Fixed,2015-09-07 10:03,2015-09-07 10:41,
